Year,Month,Value,Model,Scenario
2054,3,13.109,ACCESS-CM2,ssp585
2054,9,0.205,ACCESS-CM2,ssp585
2055,3,13.846,ACCESS-CM2,ssp585
2055,9,0.091,ACCESS-CM2,ssp585
2056,3,13.101,ACCESS-CM2,ssp585
2056,9,0.037,ACCESS-CM2,ssp585
2057,3,13.381,ACCESS-CM2,ssp585
2057,9,0.049,ACCESS-CM2,ssp585
2058,3,13.03,ACCESS-CM2,ssp585
2058,9,0.062,ACCESS-CM2,ssp585
2059,3,12.99,ACCESS-CM2,ssp585
2059,9,0.012,ACCESS-CM2,ssp585
2060,3,13.289,ACCESS-CM2,ssp585
2060,9,0.064,ACCESS-CM2,ssp585
2061,3,13.562,ACCESS-CM2,ssp585
2061,9,0.074,ACCESS-CM2,ssp585
2062,3,13.26,ACCESS-CM2,ssp585
2062,9,0.02,ACCESS-CM2,ssp585
2063,3,12.86,ACCESS-CM2,ssp585
2063,9,0.009,ACCESS-CM2,ssp585
2064,3,13.015,ACCESS-CM2,ssp585
2064,9,0.062,ACCESS-CM2,ssp585
2065,3,13.374,ACCESS-CM2,ssp585
2065,9,0.236,ACCESS-CM2,ssp585
2066,3,13.414,ACCESS-CM2,ssp585
2066,9,0.113,ACCESS-CM2,ssp585
2067,3,12.546,ACCESS-CM2,ssp585
2067,9,0.05,ACCESS-CM2,ssp585
2068,3,12.317,ACCESS-CM2,ssp585
2068,9,0.024,ACCESS-CM2,ssp585
2069,3,12.283,ACCESS-CM2,ssp585
2069,9,0.027,ACCESS-CM2,ssp585
2070,3,12.136,ACCESS-CM2,ssp585
2070,9,0.057,ACCESS-CM2,ssp585
2071,3,12.444,ACCESS-CM2,ssp585
2071,9,0.022,ACCESS-CM2,ssp585
2072,3,11.339,ACCESS-CM2,ssp585
2072,9,0.032,ACCESS-CM2,ssp585
2073,3,11.439,ACCESS-CM2,ssp585
2073,9,0.173,ACCESS-CM2,ssp585
2074,3,11.372,ACCESS-CM2,ssp585
2074,9,0.029,ACCESS-CM2,ssp585
2075,3,11.765,ACCESS-CM2,ssp585
2075,9,0.012,ACCESS-CM2,ssp585
2076,3,11.505,ACCESS-CM2,ssp585
2076,9,0.019,ACCESS-CM2,ssp585
2077,3,11.63,ACCESS-CM2,ssp585
2077,9,0,ACCESS-CM2,ssp585
2078,3,12.126,ACCESS-CM2,ssp585
2078,9,0.013,ACCESS-CM2,ssp585
2079,3,11.766,ACCESS-CM2,ssp585
2079,9,0.029,ACCESS-CM2,ssp585
2080,3,11.962,ACCESS-CM2,ssp585
2080,9,0.009,ACCESS-CM2,ssp585
2081,3,11.518,ACCESS-CM2,ssp585
2081,9,0.042,ACCESS-CM2,ssp585
2082,3,11.318,ACCESS-CM2,ssp585
2082,9,0.017,ACCESS-CM2,ssp585
2083,3,11.59,ACCESS-CM2,ssp585
2083,9,0.006,ACCESS-CM2,ssp585
2084,3,11.347,ACCESS-CM2,ssp585
2084,9,0.012,ACCESS-CM2,ssp585
2085,3,11.094,ACCESS-CM2,ssp585
2085,9,0,ACCESS-CM2,ssp585
2086,3,10.872,ACCESS-CM2,ssp585
2086,9,0,ACCESS-CM2,ssp585
2087,3,10.538,ACCESS-CM2,ssp585
2087,9,0.008,ACCESS-CM2,ssp585
2088,3,10.378,ACCESS-CM2,ssp585
2088,9,0.01,ACCESS-CM2,ssp585
2089,3,10.104,ACCESS-CM2,ssp585
2089,9,0.003,ACCESS-CM2,ssp585
2090,3,10.029,ACCESS-CM2,ssp585
2090,9,0,ACCESS-CM2,ssp585
2091,3,10.084,ACCESS-CM2,ssp585
2091,9,0.011,ACCESS-CM2,ssp585
2092,3,9.971,ACCESS-CM2,ssp585
2092,9,0.006,ACCESS-CM2,ssp585
2093,3,9.935,ACCESS-CM2,ssp585
2093,9,0.003,ACCESS-CM2,ssp585
2094,3,9.776,ACCESS-CM2,ssp585
2094,9,0,ACCESS-CM2,ssp585
2095,3,9.018,ACCESS-CM2,ssp585
2095,9,0,ACCESS-CM2,ssp585
2096,3,9.347,ACCESS-CM2,ssp585
2096,9,0,ACCESS-CM2,ssp585
2097,3,9.196,ACCESS-CM2,ssp585
2097,9,0.01,ACCESS-CM2,ssp585
2098,3,8.546,ACCESS-CM2,ssp585
2098,9,0,ACCESS-CM2,ssp585
2099,3,8.108,ACCESS-CM2,ssp585
2099,9,0,ACCESS-CM2,ssp585
2100,3,7.444,ACCESS-CM2,ssp585
2100,9,0,ACCESS-CM2,ssp585
1979,3,15.479,ACCESS-ESM1-5,ssp245
1979,9,6.714,ACCESS-ESM1-5,ssp245
1980,3,15.841,ACCESS-ESM1-5,ssp245
1980,9,6.747,ACCESS-ESM1-5,ssp245
1981,3,16.248,ACCESS-ESM1-5,ssp245
1981,9,7.199,ACCESS-ESM1-5,ssp245
1982,3,15.769,ACCESS-ESM1-5,ssp245
1982,9,6.908,ACCESS-ESM1-5,ssp245
1983,3,16.002,ACCESS-ESM1-5,ssp245
1983,9,6.686,ACCESS-ESM1-5,ssp245
1984,3,16.117,ACCESS-ESM1-5,ssp245
1984,9,6.728,ACCESS-ESM1-5,ssp245
1985,3,16.76,ACCESS-ESM1-5,ssp245
1985,9,6.959,ACCESS-ESM1-5,ssp245
1986,3,16.236,ACCESS-ESM1-5,ssp245
1986,9,7.102,ACCESS-ESM1-5,ssp245
1987,3,15.777,ACCESS-ESM1-5,ssp245
1987,9,7.4,ACCESS-ESM1-5,ssp245
1988,3,15.643,ACCESS-ESM1-5,ssp245
1988,9,6.605,ACCESS-ESM1-5,ssp245
1989,3,15.718,ACCESS-ESM1-5,ssp245
1989,9,6.788,ACCESS-ESM1-5,ssp245
1990,3,15.758,ACCESS-ESM1-5,ssp245
1990,9,7.119,ACCESS-ESM1-5,ssp245
1991,3,15.045,ACCESS-ESM1-5,ssp245
1991,9,6.233,ACCESS-ESM1-5,ssp245
1992,3,15.542,ACCESS-ESM1-5,ssp245
1992,9,6.89,ACCESS-ESM1-5,ssp245
1993,3,16.3,ACCESS-ESM1-5,ssp245
1993,9,5.962,ACCESS-ESM1-5,ssp245
1994,3,16.37,ACCESS-ESM1-5,ssp245
1994,9,7.765,ACCESS-ESM1-5,ssp245
1995,3,16.018,ACCESS-ESM1-5,ssp245
1995,9,6.14,ACCESS-ESM1-5,ssp245
1996,3,15.544,ACCESS-ESM1-5,ssp245
1996,9,5.523,ACCESS-ESM1-5,ssp245
1997,3,14.721,ACCESS-ESM1-5,ssp245
1997,9,6.311,ACCESS-ESM1-5,ssp245
1998,3,14.518,ACCESS-ESM1-5,ssp245
1998,9,5.622,ACCESS-ESM1-5,ssp245
1999,3,14.349,ACCESS-ESM1-5,ssp245
1999,9,5.904,ACCESS-ESM1-5,ssp245
2000,3,14.533,ACCESS-ESM1-5,ssp245
2000,9,6.514,ACCESS-ESM1-5,ssp245
2001,3,14.856,ACCESS-ESM1-5,ssp245
2001,9,5.886,ACCESS-ESM1-5,ssp245
2002,3,14.834,ACCESS-ESM1-5,ssp245
2002,9,5.063,ACCESS-ESM1-5,ssp245
2003,3,14.477,ACCESS-ESM1-5,ssp245
2003,9,5.028,ACCESS-ESM1-5,ssp245
2004,3,14.244,ACCESS-ESM1-5,ssp245
2004,9,4.95,ACCESS-ESM1-5,ssp245
2005,3,14.057,ACCESS-ESM1-5,ssp245
